Time,Open,High,Low,Last,Change,Volume
9/15/2020,93.05,93.14,92.78,93.07,0.02,0
9/14/2020,93.29,93.32,92.87,93.05,-0.22,0
9/11/2020,93.34,93.38,93.09,93.27,-0.07,0
9/10/2020,93.26,93.45,92.7,93.34,0.08,0
9/9/2020,93.54,93.66,93.14,93.26,-0.28,0
9/8/2020,93.05,93.58,93,93.54,0.49,0
9/7/2020,92.82,93.09,92.71,93.05,0.08,0
9/4/2020,92.83,93.23,92.66,92.97,0.14,0
9/3/2020,92.69,93.06,92.65,92.83,0.14,0
9/2/2020,92.24,92.87,92.2,92.69,0.45,0
9/1/2020,92.18,92.39,91.74,92.24,0.06,0
8/31/2020,92.29,92.47,91.99,92.18,-0.12,0
8/28/2020,93.02,93.09,92.19,92.3,-0.72,0
8/27/2020,92.82,93.31,92.41,93.02,0.2,0
8/26/2020,93.01,93.36,92.82,92.82,-0.19,0
8/25/2020,93.27,93.34,92.96,93.01,-0.26,0
8/24/2020,93.19,93.34,92.84,93.27,0.07,0
8/21/2020,92.68,93.47,92.57,93.2,0.52,0
8/20/2020,92.99,93.23,92.67,92.68,-0.31,0
8/19/2020,92.2,93.05,92.15,92.99,0.79,0
8/18/2020,92.81,92.82,92.12,92.2,-0.61,0
8/17/2020,93.09,93.12,92.77,92.81,-0.28,0
8/14/2020,93.24,93.4,93.01,93.09,-0.15,0
8/13/2020,93.36,93.38,92.92,93.24,-0.12,0
8/12/2020,93.68,93.9,93.26,93.36,-0.32,0
8/11/2020,93.62,93.74,93.17,93.68,0.06,0
8/10/2020,93.4,93.69,93.29,93.62,0.23,0
8/7/2020,92.81,93.62,92.76,93.39,0.58,0
8/6/2020,92.77,93.08,92.52,92.81,0.04,0
8/5/2020,93.15,93.24,92.56,92.77,-0.38,0
8/4/2020,93.54,93.83,93.14,93.15,-0.39,0
8/3/2020,93.45,93.99,93.31,93.54,0.09,0
7/31/2020,92.79,93.53,92.54,93.45,0.66,0
7/30/2020,93.35,93.67,92.77,92.79,-0.56,0
7/29/2020,93.75,93.79,93.18,93.35,-0.41,0
7/28/2020,93.53,94,93.49,93.76,0.23,0
7/27/2020,94.39,94.41,93.47,93.53,-0.81,0
7/24/2020,94.79,94.83,94.33,94.34,-0.45,0
7/23/2020,95.01,95.18,94.59,94.79,-0.22,0
7/22/2020,95.13,95.41,94.82,95.01,-0.12,0
7/21/2020,95.73,95.91,95.04,95.13,-0.6,0
7/20/2020,96.06,96.17,95.72,95.73,-0.28,0
7/17/2020,96.27,96.32,95.9,96.01,-0.26,0
7/16/2020,96,96.4,95.89,96.27,0.27,0
7/15/2020,96.15,96.24,95.77,96,-0.15,0
7/14/2020,96.55,96.7,96.15,96.15,-0.4,0
7/13/2020,96.61,96.68,96.27,96.55,-0.1,0
7/10/2020,96.77,96.97,96.43,96.65,-0.12,0
7/9/2020,96.45,96.81,96.23,96.77,0.32,0
7/8/2020,96.97,97.05,96.4,96.45,-0.52,0
7/7/2020,96.74,97.15,96.6,96.97,0.23,0
7/6/2020,97.18,97.19,96.56,96.74,-0.41,0
7/3/2020,97.23,97.35,97.12,97.15,-0.08,0
7/2/2020,97.16,97.34,96.81,97.23,0.07,0
7/1/2020,97.39,97.62,97.02,97.16,-0.23,0
